순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
,,,,,,,,,,,
1.0,삼천리,4.06%,171000.0,73000.0,-29.92%,37355.0,171000.0,171000.0,171000.0,14.08,3.58
2.0,포스코퓨처엠,2.63%,338000.0,9500.0,-2.73%,1593810.0,346000.0,355000.0,334000.0,221.35,4.87
3.0,다우데이타,1.80%,17750.0,3600.0,-16.86%,31692820.0,15000.0,18750.0,15000.0,3.34,19.81
4.0,서울가스,1.73%,161000.0,68500.0,-29.85%,15900.0,161000.0,161000.0,161000.0,45.53,1.7
5.0,세방,1.65%,16560.0,4590.0,-21.70%,18346618.0,14850.0,17750.0,14850.0,3.61,11.12
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6.0,현대모비스,1.60%,222000.0,15500.0,-6.53%,500754.0,237000.0,237500.0,218000.0,8.44,6.8
7.0,대성홀딩스,1.53%,44700.0,19100.0,-29.94%,45269.0,44700.0,44700.0,44700.0,198.67,0.76
8.0,에코프로,1.39%,605000.0,8000.0,+1.34%,619531.0,604000.0,618000.0,588000.0,426.66,2.94
9.0,에코프로비엠,1.36%,250000.0,3500.0,-1.38%,1257292.0,252500.0,255500.0,243000.0,102.75,24.26
10.0,POSCO홀딩스,1.12%,377500.0,2000.0,-0.53%,849011.0,377000.0,382500.0,370000.0,10.35,6.11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
11.0,삼성전자,1.11%,63900.0,300.0,+0.47%,6520158.0,63600.0,64300.0,63300.0,7.93,17.07
12.0,현대차,1.04%,202500.0,1500.0,+0.75%,1498239.0,205500.0,207500.0,199900.0,7.62,9.36
13.0,STX,0.94%,11230.0,1430.0,+14.59%,23227267.0,10450.0,12360.0,10330.0,-23.69,-23.17
14.0,바이오니아,0.86%,51900.0,5500.0,+11.85%,2193959.0,46650.0,52700.0,45800.0,110.9,5.5
15.0,하림지주,0.85%,9590.0,330.0,-3.33%,7740531.0,9700.0,9950.0,9490.0,4.27,10.12
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16.0,금양,0.78%,62500.0,3600.0,+6.11%,2539705.0,62400.0,66600.0,60500.0,-113.84,-24.34
17.0,엘앤에프,0.66%,267500.0,4000.0,-1.47%,516103.0,271500.0,275500.0,265500.0,35.54,28.26
18.0,현대로템,0.66%,35550.0,850.0,-2.34%,7005776.0,35600.0,36050.0,33050.0,19.62,14.06
19.0,EG,0.60%,22450.0,1450.0,-6.07%,6007507.0,25050.0,25600.0,21500.0,-79.33,-3.83
20.0,선광,0.60%,57600.0,24600.0,-29.93%,15907.0,57600.0,57600.0,57600.0,26.23,4.35
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
21.0,유니온,0.59%,10690.0,890.0,+9.08%,18136911.0,9640.0,10840.0,9100.0,-16.5,-8.03
22.0,마이크로투나노,0.58%,25900.0,700.0,+2.78%,6677274.0,25200.0,30500.0,25000.0,,25.18
23.0,두산에너빌리티,0.57%,17310.0,790.0,-4.36%,5192858.0,17740.0,17980.0,17250.0,-13.88,-11.7
24.0,SK하이닉스,0.55%,88200.0,2700.0,+3.16%,1978651.0,86400.0,88700.0,86200.0,28.8,3.56
25.0,LG에너지솔루션,0.53%,563000.0,12000.0,+2.18%,122398.0,551000.0,564000.0,550000.0,170.35,5.75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
26.0,NAVER,0.49%,188800.0,2700.0,+1.45%,373058.0,185800.0,190900.0,185700.0,40.74,3.29
27.0,포스코DX,0.49%,14470.0,70.0,+0.49%,18320665.0,14960.0,15540.0,14070.0,48.23,11.84
28.0,마음AI,0.47%,30800.0,1450.0,+4.94%,6178349.0,29350.0,34000.0,27600.0,-40.05,-16.88
29.0,포스코스틸리온,0.47%,62200.0,9300.0,+17.58%,1654462.0,58900.0,65100.0,58500.0,16.43,6.84
30.0,한미반도체,0.45%,21750.0,1300.0,+6.36%,5275264.0,20200.0,22000.0,20150.0,23.29,25.04
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1.0,삼천리,4.06%,171000.0,73000.0,-29.92%,37388.0,171000.0,171000.0,171000.0,14.08,3.58
2.0,포스코퓨처엠,2.63%,337000.0,10500.0,-3.02%,1599113.0,346000.0,355000.0,334000.0,220.69,4.87
3.0,다우데이타,1.80%,17830.0,3520.0,-16.49%,31755358.0,15000.0,18750.0,15000.0,3.35,19.81
4.0,서울가스,1.73%,161000.0,68500.0,-29.85%,15901.0,161000.0,161000.0,161000.0,45.53,1.7
5.0,세방,1.65%,16560.0,4590.0,-21.70%,18384648.0,14850.0,17750.0,14850.0,3.61,11.12
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6.0,현대모비스,1.60%,223000.0,14500.0,-6.11%,507916.0,237000.0,237500.0,218000.0,8.48,6.8
7.0,대성홀딩스,1.53%,44700.0,19100.0,-29.94%,45426.0,44700.0,44700.0,44700.0,198.67,0.76
8.0,에코프로,1.39%,605000.0,8000.0,+1.34%,620966.0,604000.0,618000.0,588000.0,426.66,2.94
9.0,에코프로비엠,1.36%,249000.0,4500.0,-1.78%,1259637.0,252500.0,255500.0,243000.0,102.34,24.26
10.0,POSCO홀딩스,1.12%,377500.0,2000.0,-0.53%,849964.0,377000.0,382500.0,370000.0,10.35,6.11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
11.0,삼성전자,1.11%,63800.0,200.0,+0.31%,6524931.0,63600.0,64300.0,63300.0,7.92,17.07
12.0,현대차,1.04%,202500.0,1500.0,+0.75%,1500060.0,205500.0,207500.0,199900.0,7.62,9.36
13.0,STX,0.94%,11220.0,1420.0,+14.49%,23262964.0,10450.0,12360.0,10330.0,-23.67,-23.17
14.0,바이오니아,0.86%,51400.0,5000.0,+10.78%,2202124.0,46650.0,52700.0,45800.0,109.83,5.5
15.0,하림지주,0.85%,9590.0,330.0,-3.33%,7767673.0,9700.0,9950.0,9490.0,4.27,10.12
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
16.0,금양,0.78%,62000.0,3100.0,+5.26%,2544284.0,62400.0,66600.0,60500.0,-112.93,-24.34
17.0,엘앤에프,0.66%,267000.0,4500.0,-1.66%,519613.0,271500.0,275500.0,265500.0,35.48,28.26
18.0,현대로템,0.66%,35550.0,850.0,-2.34%,7014788.0,35600.0,36050.0,33050.0,19.62,14.06
19.0,EG,0.60%,22750.0,1150.0,-4.81%,6023699.0,25050.0,25600.0,21500.0,-80.39,-3.83
20.0,선광,0.60%,57600.0,24600.0,-29.93%,15919.0,57600.0,57600.0,57600.0,26.23,4.35
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
21.0,유니온,0.59%,10660.0,860.0,+8.78%,18881236.0,9640.0,10920.0,9100.0,-16.45,-8.03
22.0,마이크로투나노,0.58%,25900.0,700.0,+2.78%,6695862.0,25200.0,30500.0,25000.0,,25.18
23.0,두산에너빌리티,0.57%,17300.0,800.0,-4.42%,5227219.0,17740.0,17980.0,17250.0,-13.87,-11.7
24.0,SK하이닉스,0.55%,87900.0,2400.0,+2.81%,2009943.0,86400.0,88700.0,86200.0,28.7,3.56
25.0,LG에너지솔루션,0.53%,563000.0,12000.0,+2.18%,122758.0,551000.0,564000.0,550000.0,170.35,5.75
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
26.0,NAVER,0.49%,188800.0,2700.0,+1.45%,373815.0,185800.0,190900.0,185700.0,40.74,3.29
27.0,포스코DX,0.49%,14420.0,20.0,+0.14%,18351826.0,14960.0,15540.0,14070.0,48.07,11.84
28.0,마음AI,0.47%,31150.0,1800.0,+6.13%,6198803.0,29350.0,34000.0,27600.0,-40.51,-16.88
29.0,포스코스틸리온,0.47%,61700.0,8800.0,+16.64%,1656964.0,58900.0,65100.0,58500.0,16.3,6.84
30.0,한미반도체,0.45%,21700.0,1250.0,+6.11%,5288656.0,20200.0,22000.0,20150.0,23.23,25.04
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
